Month,Year,Target
Jan,2002,50000
Feb,2002,50000
Mar,2002,50000
Apr,2002,50000
May,2002,50000
Jun,2002,50000
Jul,2002,50000
Aug,2002,50000
Sep,2002,50000
Oct,2002,50000
Nov,2002,50000
Dec,2002,50000
Jan,2023,50000
Feb,2023,50000
Mar,2023,50000
Apr,2023,50000
May,2023,50000
Jun,2023,50000
Jul,2023,50000
Aug,2023,50000
Sep,2023,50000
Oct,2023,50000
Nov,2023,50000
Dec,2023,50000
Jan,2024,50000
Feb,2024,50000
Mar,2024,50000
Apr,2024,50000
May,2024,50000
Jun,2024,50000
Jul,2024,50000
Aug,2024,50000
